name,url
SQLiteImpEx,https://github.com/androidmads/SQLiteImporterExporter
Easy Data Sorage,https://github.com/neeloyghosh1990/EasyDataStorage
Thneed,https://github.com/chalup/thneed
DbExporterHelper,https://github.com/prabhat1707/DbExporterHelper
Squeaky,https://github.com/jasonwyatt/squeaky-android
DBFlowManager Hyperion Plugin,https://github.com/wajahatkarim3/DBFlowManager-Hyperion-Plugin
BlurImage,https://github.com/vokal/Android-Lint-Checks
Zoomy,https://github.com/wasabeef/Blurry
Hauler,https://github.com/Dimezis/BlurView
GestureFun,https://github.com/wonderkiln/blurkit-android
SimpleFingerGestures,https://github.com/tvbarthel/BlurDialogFragment
gesto,https://github.com/Commit451/NativeStackBlur
GestureImageView,https://github.com/Manabu-GT/EtsyBlur
NewHandwave,https://github.com/Cleveroad/BlurTutorial
HoverTouchView,https://github.com/Adnan865/MultiShapeBlurView
OXSwipe,https://github.com/jrvansuita/GaussianBlur
HacerGestoV3,https://github.com/mirrajabi/ViewEffects
ListSwipeManager,https://github.com/egslava/BlurredImageView
GifView,https://github.com/nisrulz/Sensey
GifImageView,https://github.com/sephiroth74/AndroidUIGestureRecognizer
GIF View,https://github.com/imablanco/Zoomy
Android GIF Loader,https://github.com/klinker24/Android-3DTouch-PeekView
gif-movie-view,https://github.com/saket/Flick
GifLoading,https://github.com/aboutgaurav/gesto
gradle-retrolambda,https://github.com/shalskar/PeekAndPop
SQLDelight,https://github.com/nantaphop/HoverTouchView
shadow,https://github.com/pkarira/swipper
screenshot-tests-for-android,https://github.com/DevelopersOfCydonia/FreeDTouch
axion-release-plugin,https://github.com/10uroi/OXSwipe
Easylauncher,https://github.com/koral--/android-gif-drawable
groovy-android-gradle-plugin,https://github.com/Cutta/GifView
View Inspector Plugin,https://github.com/Rogero0o/GifLoadingView
victor,https://github.com/felipecsl/GifImageView
AARLinkSources,https://github.com/Gavras/GIFView
gce2retrofit,https://github.com/RamanuGen/gifex
fork-gradle-plugin,https://github.com/adhishlal/GifLoader
Smuggler,https://github.com/myinnos/GiphyImageResultsPreview
android-gradle-localization-plugin,https://github.com/MohammedAlaaMorsi/GifLoading
Minion,https://github.com/eventtus/photo-editor-android
Android-NoSql,https://github.com/xyzxqs/XLowPoly
WaspDb,https://github.com/vRallev/OpenCV
RxSimpleNoSQL,https://github.com/jraska/Falcon
Iron,https://github.com/nisrulz/screenshott
Kolumbus,https://github.com/tarek360/InstaCapture
AndroidKeyValueStore,https://github.com/thyrlian/ScreenshotsNanny
RxFirebaseAndroid,https://github.com/karanvs/hiddenshot
RxSnappy,https://github.com/team-supercharge/rxsnappy
RealmContactsForAndroid,https://github.com/pilgr/Paper
ObjectCsv,https://github.com/nhachicha/SnappyDB
MaterialFilePicker,https://github.com/Jearil/SimpleNoSQL
belvedere,https://github.com/solkin/minion-android
FilePicker,https://github.com/realm/realm-android-adapters
PickiT,https://github.com/florent37/Android-NoSql
storage-chooser,https://github.com/nolia/Noodle
android-folder-picker-library,https://github.com/rehacktive/waspdb
DirectoryChooser,https://github.com/nmoskalenko/rxFirebase
FileAndFolderPicker,https://github.com/xmartlabs/RxSimpleNoSQL
FileListerDialog,https://github.com/realm/realm-android-user-store
aFileChooser,https://github.com/cesarferreira/RxPaper
Media Picker,https://github.com/lusfold/AndroidKeyValueStore
Android File Chooser,https://github.com/TheFinestArtist/Royal-Android
Android file chooser,https://github.com/team-supercharge/rxsnappy
AndroidFileExplorer,https://github.com/hsmnzaydn/easy-csv
HandlePathOz,https://github.com/DroidNinja/Android-FilePicker
JarExtraction,https://github.com/HBiSoft/PickiT
RxFile,https://github.com/kashifo/android-folder-picker-library
RxAssetManager,https://github.com/passy/Android-DirectoryChooser
FileEx,https://github.com/adityak368/Android-FileBrowser-FilePicker
DocumentReader,https://github.com/hedzr/android-file-chooser
AndroidExternalFileWriter,https://github.com/FirzenYogesh/FileListerDialog
K-9,https://github.com/Turtlebody/android-media-picker
Tutanota,https://github.com/MostafaNasiri/AndroidFileChooser
gmail-sender-library,https://github.com/spacecowboy/NoNonsense-FilePicker
GmailBackground,https://github.com/DeveloperPaul123/FilePickerLibrary
TextSecure,https://github.com/TurhanOz/ReactiveDirectoryChooser
ChatKit,https://github.com/kingfisherphuoc/EasyFilePickerDialog
Antox,https://github.com/onimur/handle-path-oz
HatkeMessenger,https://github.com/iammohdzaki/KnotFileChooser-Android
SMS Parser Android,https://github.com/sromku/android-simple-storage
smscode-auto-reader,https://github.com/Asutosh11/DocumentReader
fansfolio SMSAppLink,https://github.com/PrashamTrivedi/AndroidExternalFileWriter
Awesome Card,https://github.com/nedimf/maildroid
CreditCardView,https://github.com/yesidlazaro/GmailBackground
AboutLibraries,https://github.com/adorsys/sms-parser-android
Licenser,https://github.com/mahdit83/advancedSmsManager
Android VersionInfo,https://github.com/simpleton/smscode-auto-reader
Easy Licenses Dialog,https://github.com/grumpyshoe/android-module-pushmanager
2CheckoutWrapper,https://github.com/nihasKalam07/socketConnections
CheckoutVerifier,https://github.com/ibrahimsn98/achilles
PayTMDemo,https://github.com/dbachelder/CreditCardEntry
Stripe,https://github.com/manojbhadane/PaymentCardView
Android Beacon Library,https://github.com/Mostafa-MA-Saleh/EditCredit
Android Beacon Library,https://github.com/AltBeacon/android-beacon-library
RxBiometric,https://github.com/10bis/CompactCreditInput
Goldfinger,https://github.com/KingsMentor/Luhn
RxFingerprint,https://github.com/geeckmc/CardForm
Finger,https://github.com/tomjhall/StripeCardEntry
Lock Screen,https://github.com/prolificinteractive/HouseOfCards
EasyFingerPrint,https://github.com/Morxander/EditCard
FingerprintManager,https://github.com/fevziomurtekin/PayView
FingerAuth,https://github.com/medyo/android-about-page
FingerprintAssistant,https://github.com/marcoscgdev/Licenser
Fingerlock,https://github.com/p32929/OfficeAbout
fingerprint-android,https://github.com/eggheadgames/android-about-box
Scribe,https://github.com/saschpe/android-versioninfo
AppAuth for Android,https://github.com/franmontiel/AttributionPresenter
OkHttp OAuth2 client,https://github.com/victorhaggqvist/AboutIt
OauthLibGithub,https://github.com/biagiopietro/AboutActivity
BaseAuth,https://github.com/serso/android-checkout
SocialLoginManager,https://github.com/SufficientlySecure/donations
OAuth2Library,https://github.com/wangsun6/android-upi-payment
AppAuth WebView,https://github.com/trialy/trialy-android-sample
CompassView,https://github.com/knightbenax/Pentecost
Credit Card NFC Reader,https://github.com/betterme-dev/RxBilling
NFCAndroid,https://github.com/AltBeacon/android-beacon-library
Seismic,https://github.com/Adnan865/Amazon-In-App-Entitlement
GPS Status,https://github.com/pwittchen/RxBiometric
GPS Status,https://github.com/hzw1199/AndroidGpsStatus
ReactiveSensors,https://github.com/infinum/Android-Goldfinger
Android BatchStepSensor Sample,https://github.com/square/whorlwind
android-shake-detector,https://github.com/safetysystemtechnology/android-shake-detector
android-shake-detector,https://github.com/adorsys/fingerprint-android
Sensorium,https://github.com/amirarcane/lock-screen
RxSensor,https://github.com/wandup/RxSensor
Gravity View,https://github.com/JesusM/FingerprintManager
Gravity View,https://github.com/gofynd/gravity-view
GAST,https://github.com/fevziomurtekin/lockscreen
RxSensors,https://github.com/Joseph82/RxSensors
RxSensors,https://github.com/marcoscgdev/FingerAuth
Calibrator Sensor,https://github.com/xenione/calibrator-sensor
Calibrator Sensor,https://github.com/devprajwal21/FingerprintAssistant
TimeoutSensor,https://github.com/buradd/TimeoutSensor
AnalogStickLibrary,https://github.com/fingerprintjs/fingerprint-android
NorthWest,https://github.com/MarsVard/NorthWest
Android-Orientation-Sensor,https://github.com/openid/AppAuth-Android
ShakeIt,https://github.com/jcmore2/ShakePhoneLib
ShakeIt,https://github.com/corcoran/okhttp-oauth2-client
Sensor Readout,https://github.com/wuman/android-oauth-client
FileDownloader,https://github.com/lingochamp/FileDownloader
FileDownloader,https://github.com/lingochamp/FileDownloader
PRDownloader,https://github.com/rohjk/SimpleOAuth
PRDownloader,https://github.com/MindorksOpenSource/PRDownloader
Fetch,https://github.com/tonyofrancis/Fetch
download-manager,https://github.com/novoda/download-manager
Pump,https://github.com/PierfrancescoSoffritti/GoogleWebOAuth
ThinDownloadManager,https://github.com/smanikandan14/ThinDownloadManager
Insta Downloader,https://github.com/adrielcafe/AndroidOAuth
RxDownloader,https://github.com/hadiidbouk/AppAuthWebView-Android
RxDownloader,https://github.com/esafirm/RxDownloader
downloader,https://github.com/alirezat775/downloader
File Loader,https://github.com/kk121/File-Loader
BulkDownloader,https://github.com/BalakrishnanPT/BulkDownloader
MultiThreadDownload,https://github.com/ww6015132/SilkySignature
MultiThreadDownload,https://github.com/Aspsine/MultiThreadDownload
YoutubeMp3Downloader,https://github.com/androidmads/YoutubeMP3Converter
SugarLoader,https://github.com/arbelkilani/Compass-View
DownloadManager,https://github.com/kix2902/CompassView
DownloadManager,https://github.com/yuanwenbing/DownloadManager
PlayStoreParallelDownload,https://github.com/fidesmo/nordpol
Live-Text-View,https://github.com/JeffG05/LiveTextView
Android Mary TTS,https://github.com/AndroidMaryTTS/AndroidMaryTTS
usb-serial-for-android,https://github.com/mik3y/usb-serial-for-android
UsbSerial,https://github.com/felHR85/UsbSerial
libaums,https://github.com/magnusja/libaums
Android ADK Toolkit,https://github.com/palazzem/adk-toolkit
ijkplayer,https://github.com/bilibili/ijkplayer
PlayerBase,https://github.com/jiajunhui/PlayerBase
android-youtube-player,https://github.com/PierfrancescoSoffritti/android-youtube-player
MusicPlayerView,https://github.com/iammert/MusicPlayerView
MD360Player4Android,https://github.com/ashqal/MD360Player4Android
LyricViewDemo,https://github.com/asr-pub/LyricViewDemo
IjkPlayerView,https://github.com/Rukey7/IjkPlayerView
audio-wife,https://github.com/jaydeepw/audio-wife
google-media-framework-android,https://github.com/googleads/google-media-framework-android
YuuPlayer,https://github.com/agusibrahim/YuuPlayer
xl_player,https://github.com/xl-player-developers/xl_player
RxMusicPlayer-android,https://github.com/Orfium/RxMusicPlayer-android
VusikView,https://github.com/dynamitechetan/VusikView
alpha-movie,https://github.com/pavelsemak/alpha-movie
MediaLoader,https://github.com/yangwencan2002/MediaLoader
Casty,https://github.com/DroidsOnRoids/Casty
